n = 10000, k = 100, method = 1, time: 538.934 ms
n = 10000, k = 100, method = 2, time: 36.9141 ms
n = 10000, k = 100, method = 3, time: 56.6106 ms
n = 10000, k = 100, method = 4, time: 23.8412 ms
n = 10000, k = 200, method = 1, time: 585.626 ms
n = 10000, k = 200, method = 2, time: 19.5752 ms
n = 10000, k = 200, method = 3, time: 199.98 ms
n = 10000, k = 200, method = 4, time: 58.0254 ms
n = 10000, k = 300, method = 1, time: 620.894 ms
n = 10000, k = 300, method = 2, time: 20.44 ms
n = 10000, k = 300, method = 3, time: 374.312 ms
n = 10000, k = 300, method = 4, time: 81.2693 ms
n = 10000, k = 400, method = 1, time: 666.565 ms
n = 10000, k = 400, method = 2, time: 24.035 ms
n = 10000, k = 400, method = 3, time: 738.978 ms
n = 10000, k = 400, method = 4, time: 111.761 ms
n = 100000, k = 100, method = 1, time: 54222.1 ms
n = 100000, k = 100, method = 2, time: 692.103 ms
n = 100000, k = 100, method = 3, time: 349.615 ms
n = 100000, k = 100, method = 4, time: 302.01 ms
n = 100000, k = 200, method = 1, time: 56670.1 ms
n = 100000, k = 200, method = 2, time: 419.952 ms
n = 100000, k = 200, method = 3, time: 513.369 ms
n = 100000, k = 200, method = 4, time: 341.261 ms
n = 100000, k = 300, method = 1, time: 57214.1 ms
n = 100000, k = 300, method = 2, time: 318.964 ms
n = 100000, k = 300, method = 3, time: 798.584 ms
n = 100000, k = 300, method = 4, time: 449.237 ms
n = 100000, k = 400, method = 1, time: 57198.5 ms
n = 100000, k = 400, method = 2, time: 274.516 ms
n = 100000, k = 400, method = 3, time: 1226.66 ms
n = 100000, k = 400, method = 4, time: 552.811 ms
n = 500000, k = 100, method = 1, time: 1393630 ms
n = 500000, k = 100, method = 2, time: 14205 ms
n = 500000, k = 100, method = 3, time: 5129.98 ms
n = 500000, k = 100, method = 4, time: 4940.23 ms
n = 500000, k = 200, method = 1, time: 1389090 ms
n = 500000, k = 200, method = 2, time: 7689.48 ms
n = 500000, k = 200, method = 3, time: 4479.95 ms
n = 500000, k = 200, method = 4, time: 5410.27 ms
n = 500000, k = 300, method = 1, time: 1381260 ms
n = 500000, k = 300, method = 2, time: 5480.2 ms
n = 500000, k = 300, method = 3, time: 4589.52 ms
n = 500000, k = 300, method = 4, time: 4330.37 ms
n = 500000, k = 400, method = 1, time: 1387820 ms
n = 500000, k = 400, method = 2, time: 4992.02 ms
n = 500000, k = 400, method = 3, time: 5097.18 ms
n = 500000, k = 400, method = 4, time: 4010.48 ms
n = 1000000, k = 100, method = 1, time: 6807850 ms
n = 1000000, k = 100, method = 2, time: 55628.7 ms
n = 1000000, k = 100, method = 3, time: 17636.8 ms
n = 1000000, k = 100, method = 4, time: 17509.7 ms
n = 1000000, k = 200, method = 1, time: 5408610 ms
n = 1000000, k = 200, method = 2, time: 28122.2 ms
n = 1000000, k = 200, method = 3, time: 11561 ms
n = 1000000, k = 200, method = 4, time: 11238.7 ms
n = 1000000, k = 300, method = 1, time: 5402230 ms
n = 1000000, k = 300, method = 2, time: 19108.3 ms
n = 1000000, k = 300, method = 3, time: 9821.83 ms
n = 1000000, k = 300, method = 4, time: 9372.88 ms
n = 1000000, k = 400, method = 1, time: 5449140 ms
n = 1000000, k = 400, method = 2, time: 15294.2 ms
n = 1000000, k = 400, method = 3, time: 8564.49 ms
n = 1000000, k = 400, method = 4, time: 7885.54 ms

