filename: input_1w, n = 10000, k = 1, method = 1, time: 484.876 ms
filename: input_1w, n = 10000, k = 1, method = 2, time: 577.737 ms
filename: input_1w, n = 10000, k = 1, method = 3, time: 557.329 ms
filename: input_1w, n = 10000, k = 1, method = 4, time: 540.19 ms
filename: input_1w, n = 10000, k = 5, method = 1, time: 557.799 ms
filename: input_1w, n = 10000, k = 5, method = 2, time: 178.232 ms
filename: input_1w, n = 10000, k = 5, method = 3, time: 36.1993 ms
filename: input_1w, n = 10000, k = 5, method = 4, time: 38.2483 ms
filename: input_1w, n = 10000, k = 13, method = 1, time: 531.602 ms
filename: input_1w, n = 10000, k = 13, method = 2, time: 56.7544 ms
filename: input_1w, n = 10000, k = 13, method = 3, time: 18.1136 ms
filename: input_1w, n = 10000, k = 13, method = 4, time: 16.3646 ms
filename: input_1w, n = 10000, k = 17, method = 1, time: 553.316 ms
filename: input_1w, n = 10000, k = 17, method = 2, time: 43.9306 ms
filename: input_1w, n = 10000, k = 17, method = 3, time: 18.7446 ms
filename: input_1w, n = 10000, k = 17, method = 4, time: 12.6054 ms
filename: input_10w, n = 100000, k = 1, method = 1, time: 52237.6 ms
filename: input_10w, n = 100000, k = 1, method = 2, time: 52441.7 ms
filename: input_10w, n = 100000, k = 1, method = 3, time: 56010.7 ms
filename: input_10w, n = 100000, k = 1, method = 4, time: 55137.7 ms
filename: input_10w, n = 100000, k = 5, method = 1, time: 53122.6 ms
filename: input_10w, n = 100000, k = 5, method = 2, time: 10886.8 ms
filename: input_10w, n = 100000, k = 5, method = 3, time: 3599.36 ms
filename: input_10w, n = 100000, k = 5, method = 4, time: 3634.7 ms
filename: input_10w, n = 100000, k = 13, method = 1, time: 53364.7 ms
filename: input_10w, n = 100000, k = 13, method = 2, time: 4279.73 ms
filename: input_10w, n = 100000, k = 13, method = 3, time: 1268.68 ms
filename: input_10w, n = 100000, k = 13, method = 4, time: 1255.13 ms
filename: input_10w, n = 100000, k = 17, method = 1, time: 53002.2 ms
filename: input_10w, n = 100000, k = 17, method = 2, time: 3236.19 ms
filename: input_10w, n = 100000, k = 17, method = 3, time: 1006.35 ms
filename: input_10w, n = 100000, k = 17, method = 4, time: 952.366 ms
