file = input_1w, n = 10000, k = 1, method = 1, time = 7281.999826431274ms
file = input_1w, n = 10000, k = 1, method = 2, time = 7351.000785827637ms
file = input_1w, n = 10000, k = 1, method = 3, time = 7221.510887145996ms
file = input_1w, n = 10000, k = 1, method = 4, time = 7030.999422073364ms
file = input_1w, n = 10000, k = 5, method = 1, time = 7251.000642776489ms
file = input_1w, n = 10000, k = 5, method = 2, time = 1629.9984455108643ms
file = input_1w, n = 10000, k = 5, method = 3, time = 1431.9946765899658ms
file = input_1w, n = 10000, k = 5, method = 4, time = 1400.998830795288ms
file = input_1w, n = 10000, k = 13, method = 1, time = 7314.999580383301ms
file = input_1w, n = 10000, k = 13, method = 2, time = 678.9989471435547ms
file = input_1w, n = 10000, k = 13, method = 3, time = 1881.9997310638428ms
file = input_1w, n = 10000, k = 13, method = 4, time = 494.99964714050293ms
file = input_1w, n = 10000, k = 17, method = 1, time = 7434.999942779541ms
file = input_1w, n = 10000, k = 17, method = 2, time = 555.9999942779541ms
file = input_1w, n = 10000, k = 17, method = 3, time = 2355.0004959106445ms
file = input_1w, n = 10000, k = 17, method = 4, time = 372.00117111206055ms
file = input_10w, n = 100000, k = 1, method = 1, time = 979648.5705375671ms
file = input_10w, n = 100000, k = 1, method = 2, time = 1025483.4008216858ms
file = input_10w, n = 100000, k = 1, method = 3, time = 980440.655708313ms
file = input_10w, n = 100000, k = 1, method = 4, time = 824900.1262187958ms
file = input_10w, n = 100000, k = 5, method = 1, time = 843090.6195640564ms
file = input_10w, n = 100000, k = 5, method = 2, time = 154880.15627861023ms
file = input_10w, n = 100000, k = 5, method = 3, time = 63940.14501571655ms
file = input_10w, n = 100000, k = 5, method = 4, time = 173257.5101852417ms
file = input_10w, n = 100000, k = 13, method = 1, time = 850836.7004394531ms
file = input_10w, n = 100000, k = 13, method = 2, time = 64809.03673171997ms
file = input_10w, n = 100000, k = 13, method = 3, time = 30587.99934387207ms
file = input_10w, n = 100000, k = 13, method = 4, time = 60328.120708465576ms
file = input_10w, n = 100000, k = 17, method = 1, time = 888176.2940883636ms
file = input_10w, n = 100000, k = 17, method = 2, time = 54570.470571517944ms
file = input_10w, n = 100000, k = 17, method = 3, time = 22526.000022888184ms
file = input_10w, n = 100000, k = 17, method = 4, time = 41551.000356674194ms
